Car_ID,Sale_Price_Lakh,Sale_Date,Buyer_Name
 c1000 , 1970/01/01,27 MaY 2023 , BUyEr_0
 c1001 ,01-01-1970 ,2022-13-11, BUyer_1
 C1002, 1970/01/01,11-09-2022,BUYEr_2 
 c1003,01 JaN 1970 ,2023/08/05, BuYeR_3
 c1004 ,1970/01/01,"JUL 26, 2022", BUyER_4
  C1005,01-01-1970, 2022/02/05 , BUYEr_5
c1006  , 01 JAn 1970,25 aUg 2022 , BUYer_6
c1007 ,01-01-1970 , 31 MAy 2022, BuyEr_7
c1008 , 01-01-1970,20/12/2022,bUYer_8 
c1009,01 Jan 1970,2023/09/23,  buyEr_9
c1010  ,"JAn 01, 1970",06-10-2023, buYeR_10
C1011 ,1970/01/01,2023-14-12 ,BUYER_11 
c1012 ,1970-01-01,11/06/2023,BuYer_12 
  C1013,1970-01-01,2022-05-05,buYER_13
C1014 ,01-01-1970,2022/07/18,BuyER_14 
c1015  ,01 jAn 1970,11 jul 2023 , BUYER_15
 C1016 ,1970-01-01,"nOv 10, 2022", buyER_16 
c1017,01 JaN 1970,26/11/2023,buyeR_17
c1018 ,01-01-1970 ,09-20-2022,BuYeR_18
c1019,01 JAn 1970,"Jul 21, 2023", Buyer_19 
c1020 ,"JAn 01, 1970",2022-03-02,BUyER_20
C1021, 1970-01-01 ,01-08-2023,BUYEr_21 
c1022,1970/01/01 , 24 AUG 2022, bUYEr_22  
 c1023 , 01-01-1970, 2022-24-06,bUYer_23
 C1024 ,01/01/1970,2023-23-07,bUYer_24  
 c1025  ,1970-01-01, 2022-22-12 ,  BUYEr_25 
  C1026,01-01-1970, 08-28-2022,bUyER_26
 C1027  ,01 jan 1970, 2023/10/09, BUYEr_27 
C1028, 1970-01-01,02/06/2022 ,bUyER_28 
C1029,01 jAN 1970, 16 deC 2022,  BuyEr_29
c1030 ,"jaN 01, 1970",10/06/2023 , BuYEr_30
C1031 ,"jan 01, 1970 ",2022-27-09,BUYeR_31  
 c1032,1970-01-01, 2023-27-03,BUYER_32  
c1033 , 1970/01/01,16/09/2022,bUyeR_33 
c1034  , 01-01-1970,13/12/2023 ,BuYER_34 
 c1035,01/01/1970,10-05-2023,BuYeR_35
C1036 , 1970-01-01,2023-15-02 ,BuyEr_36 
 C1037  ,01-01-1970,"Jan 24, 2023 ",  BUYer_37 
 C1038  , 01 Jan 1970," NOv 14, 2022 ", BUYEr_38
 C1039,"jaN 01, 1970",2022/10/03 ,bUyer_39
 C1040,1970/01/01,"aPr 05, 2023",buYEr_40 
C1041,"JaN 01, 1970",22/01/2023,BUyEr_41 
 c1042, 01 Jan 1970 ,25 JAn 2022, bUYeR_42
 c1043  ,1970/01/01,2022/06/11 ,BUYeR_43
c1044 , 1970/01/01,03-30-2022 ,BUYer_44
 c1045,01/01/1970, 18/01/2022,BUYEr_45 
 c1046, 01-01-1970,31 jAn 2023, BuYER_46  
 C1047 , 1970-01-01,08-19-2022,BuYEr_47
c1048 ,01/01/1970,08/01/2023,bUYEr_48
c1049  ,1970/01/01,12-07-2022, buYer_49
 C1050  ,01-01-1970 ,03-22-2023,bUyeR_50  
