Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
 c1000  ,BATtErY rePLacemenT, 05-13-2020,01/01/1970,  autoCARe  
C1001,  BaTTeRy rePlAcEMeNT,2020-08-06 , 1970/01/01,SPeed garage 
 c1002 ,oIL ChAnGE,2023/10/17 ,01/01/1970 ,PITSToP
 c1003, FULl sErVicE , 09-01-2020 ,01-01-1970 ,MeChAnIx 
 C1004, bRake ServIce ,"jan 04, 2020",01/01/1970,speeD GAraGe 
 c1005,Oil CHange ,2023-27-06,"jaN 01, 1970",CArz
c1006, oiL cHangE,19 Jan 2020, 01 JAN 1970,CARZ
 C1007  ,FuLL sErVicE,14 Oct 2021,1970/01/01,cArz
c1008, OiL CHAnGe ," oct 21, 2022","jan 01, 1970",PITSTOP  
 c1009,baTTerY REPlACEMeNT , 15 MaR 2021,1970-01-01 , FASTfiX  
 C1010, OiL CHanGE ,06-10-2021,01-01-1970, AUtoCarE
 C1011 , FULL SerViCE , 01-01-2020,1970-01-01, CArz
 c1012 ,BRAke serViCE,2023/11/04 , 01-01-1970, mechAnix 
 c1013,BRake ServIcE,2021-17-03,1970-01-01 ,pITstop 
 c1014 ,TYre CHAnge ,2022-12-02,"Jan 01, 1970", AUtocaRE 
c1015, tyRe cHAnge,10-01-2023,01-01-1970 ,CaRz
 c1016,TyRE chanGE ,22/05/2021,01-01-1970, SpeeD GARAGe
  C1017 , engiNE RePAiR,2023-07-02,"jAn 01, 1970", FaSTfix
 C1018 ,batterY rEpLACemEnT ,"oct 17, 2023",1970-01-01,SpeeD gARaGe
C1019 ,oil cHAngE ,02-05-2022,01-01-1970, SpeEd gARagE 
  c1020, OIl cHanGE,18 MAY 2020,01/01/1970, carz  
 c1021 , BrAKE sErViCe , 2020-01-12,1970-01-01, pItSTOP
 c1022  ,FuLL sErVICE,03-24-2023,01 jAn 1970 , AuTocAre 
  C1023 , ENgine rEpAir ,10-20-2021,01/01/1970, mEchaNiX
C1024,Engine REpair,"Mar 28, 2022", 1970-01-01,  fASTFIX
 C1025 ,  bRakE SerVICe ,2022-24-02,01/01/1970,CArz 
C1026,Tyre ChanGe ,07-13-2023 ,"jan 01, 1970 ", FAsTFiX 
  C1027, BRaKE SERVICE  ,20/12/2020,"JAn 01, 1970",CARZ  
c1028 ,brake sERvIce  ,02/09/2023,01 jAN 1970, SPeed GARaGe
 c1029,oil ChAnge ,23 mAr 2021, 01 jan 1970 ,fAsTFix 
c1030 , TYRe change,30/05/2020 ,01 Jan 1970 ,AutOcARe 
c1031, OiL chaNgE,2022-05-01 ,01-01-1970 ,aUTOcAre 
 c1032 , fuLl sERviCE,12-19-2021 ,01 jAN 1970,FAsTFIx 
  C1033 ,TYRE CHanGe,"ocT 19, 2021",01-01-1970 ,PitSTOP 
 C1034,  EngINE rePair ,2022/10/07 ,01/01/1970,  SpeED gARAge
C1035 , TYRe CHANgE ,2023/02/14, 01/01/1970,PitSTop 
 c1036 ,  tYre ChANge ,11-04-2021,"Jan 01, 1970", fAStFIX 
 c1037 ,  oIL cHANGe,"Oct 18, 2022",01-01-1970, MeCHANiX
c1038,  OIL ChanGe ,03 seP 2020 ,01-01-1970,MEChANIx  
C1039, EngiNe rEPAIR, 15/02/2023,"jAn 01, 1970", pItstoP
 C1040  ,FuLL sERvice, 2020/03/21 , 1970-01-01, fAStFIx
c1041,full seRvicE ,10-03-2022, 01-01-1970 ,pitSToP
C1042 ,fULL servIce,"Jul 12, 2023", 01 jAN 1970,fAStfIX  
c1043 , BrAke sErvicE  ,2021/03/29,01 JAN 1970, SpEEd gArAgE  
C1044, tyre cHaNGE  ," MaR 23, 2023", 01/01/1970 ,MecHanix 
 c1045, bAtteRY ReplacEmeNt, 09-15-2020 , 1970/01/01, cARz 
 C1046 ,  Tyre CHANge,04/01/2020,1970/01/01, sPeeD gAraGE 
c1047, BRAKE SErVIce,01-22-2020,1970-01-01 , mEChaniX
 c1048 , enGInE REpAIR,2020/01/12 ," jAn 01, 1970",caRz 
 C1049 , OIL cHANGe ,07/04/2020,"Jan 01, 1970", AutOcaRE 
c1050, fUlL seRviCe, 11-20-2020,01/01/1970 ,speEd gArAGE 
 c1051 ,TYrE cHanGE , 27/03/2020 ,01/01/1970 ,PITStOP 
c1052, BaTteRy rEplACEmeNT  ,2020-03-02,01-01-1970,AuTocarE
 C1053 , TYRE cHanGe  , 01-22-2021,01 jAN 1970, caRz
 c1054,eNgINe rEpAIr," apr 22, 2023 ", 01 jAn 1970,auTOCaRE 
C1055, bRAke SErviCE ," noV 26, 2022",1970-01-01,fASTFix 
 C1056 ,  tyRE cHANge,2023-27-02 , 1970-01-01, mEchAniX
C1057 ,FUll servICE, 09/05/2022 ,1970-01-01 , MEchanIx
 C1058, oil ChAngE,"jAn 17, 2022",01 JAN 1970 , AUtOCAre 
 C1059 , bRAke sERvIce ,09-12-2023, 01/01/1970 , fAstFiX
c1060 , BrAKe sERvicE ,04 NOV 2023 ," jaN 01, 1970 ", aUtoCare 
C1061 , fuLL SeRvicE, 29 OCT 2020, 01 JaN 1970, aUtoCaRe
C1062  , BraKe SERvIce, 13 seP 2021, 01-01-1970 ,mEcHaNIx  
C1063,BaTTERy RePlaCemenT,2021/12/09,1970/01/01, CARz 
c1064 ,Full SerVicE,"NOV 18, 2021 ",1970-01-01 , AUtOCaRE
c1065,fuLl sERvice , 2023-03-01 ,1970/01/01 ,cArz 
  C1066 ,Tyre CHANgE, 22/01/2020 , 1970/01/01,  fAstFiX
 C1067,  enginE rEPAir ,2022/05/07 ,"JAN 01, 1970 ",  sPeED GArage
c1068 ,tYre CHanGE ,09-28-2021 ,"JAN 01, 1970",  CarZ 
 C1069  ,  oIl cHaNGE,"nOV 24, 2020", 1970/01/01,FaStfix 
 C1070  ,Full SerVIce , 23 fEB 2022,1970-01-01,autocaRE 
C1071 ,fuLL serVicE,2020/04/02,"jAN 01, 1970",SpeEd gARAge  
C1072,fuLl sErvICE, 2020/06/23 ," JAn 01, 1970",aUTOCare
c1073 ,BRAkE seRvICE,14 maY 2021, 01/01/1970,carZ  
 c1074, Oil CHaNge  ,27 MAR 2021 ,01-01-1970 ,speED gaRAGE 
C1075, bRAKe Service,05 mAR 2023 ,1970-01-01, mecHAnIX  
c1076,ENGine repAiR,2020-24-02 ,01-01-1970 ,aUTOCARe
C1077 ,ENginE repaiR ,2023-28-02, 01 JaN 1970,aUTocArE 
 c1078,  Full sERvIce ,2022-18-09, 01 JAn 1970,mecHANix 
c1079 ,EngInE REPAiR ,2020/10/12 ,1970-01-01, meCHANiX 
 c1080 ,BrakE sErVICe ," jun 10, 2023",01 jaN 1970,sPeed GarAge 
C1081,BraKE SERvICE, 08/12/2020 ,01-01-1970,CaRz
 C1082 , BaTTerY REpLACemEnT,2022-13-01, 01-01-1970,sPeED gArAGE 
c1083 ,bAtTERy rePlaCemENt,01/08/2023 ," JAN 01, 1970", MEcHaNix
C1084  , OiL chAnGE ,2023/06/20,01/01/1970,PitSTOP
C1085 , engine RePaIR , 2020/08/16,01/01/1970,MEcHAnix 
C1086 ,BatTERy RepLACemeNt  , 30/07/2022,01 Jan 1970,caRZ
c1087 , BRAKe sErviCe ,13 May 2022,"JAN 01, 1970",CARZ  
c1088, baTtERY REPLaceMent,06-21-2022,01 jAn 1970, auTOCaRe 
 c1089 ,bRAkE SerVicE  ,04-11-2020,01 jaN 1970 ,FAsTFIx 
 C1090, FUlL SerViCE ,2021-28-04,01 Jan 1970,  PiTstOP 
c1091, ENGiNe REpaiR,2021-23-01,1970/01/01,SpeED GARAge 
C1092,OiL cHAnge ,2022/08/27, 01-01-1970,mechaniX
c1093  , brAKE SERVice , 05-05-2022 ,01 jAn 1970, MeChanIX 
 c1094,fuLl sErvice,26 MAy 2021 ,01 jan 1970,  FAstFIx
 c1095, EngIne rEpAIR,16/08/2020,1970/01/01,cArz 
C1096 , TyRe ChAnge ,"nov 01, 2023 ",1970-01-01,auTOcare 
  C1097 ,BATTery REpLACEMENT,11 Nov 2021 ,01-01-1970 , aUtoCaRe 
 C1098  ,braKE SERviCe ,23/04/2023,1970/01/01,MeCHaNIX 
  c1099 ,  FULL sErViCE , 2020-25-09, 01-01-1970,fAStfiX
C1100,EnGiNE rEPair , 01 mAR 2023,1970/01/01 , mEChanIX
 C1101,ENgINe RePaiR ,30 oct 2022 ," jAN 01, 1970 ",  PiTStOP 
c1102 ,baTTeRy replACEMENt ,2022/09/05 ,1970/01/01, MEChANIx
C1103,batTeRY rEplACEMeNt, 2022/03/08, 01/01/1970,autOcaRE
C1104,engIne RePAIr ,29/11/2022,1970/01/01, autocARE 
c1105 ,EnGinE repaIR, 07-17-2021 ," JAN 01, 1970",cArz  
C1106 , baTterY REplAcEmEnt ,02 ApR 2022,01 JAn 1970, MECHAniX
  c1107, FULL SeRViCe,2022/01/06,01 JAn 1970,SPeEd GaRAge
 C1108 ,OIl chANGe ,2022-11-09,01/01/1970,cARz
c1109 , BraKe SeRvicE,2023/12/15," JAN 01, 1970 ", MEcHAnIX 
 c1110 , OIL ChAnGe ,2023-31-08,01-01-1970 , auTOCArE
c1111 ,  tyre CHaNGE,28 deC 2021 ,01/01/1970,AUTOCarE 
